season,constructor,era,races,total_points,avg_grid_position,avg_finish_position,dnf_rate,wins,podiums,top10_finishes,podium_rate,top10_rate,final_rank,prev_final_rank,prev_total_points,prev_avg_grid_position,prev_avg_finish_position,prev_dnf_rate,prev_wins,prev_podiums,prev_top10_finishes,prev_podium_rate,prev_top10_rate,prev_driver_strength_mean,prev_driver_strength_max
2022,Aston Martin,2022-2025_ground_effect,22,55.0,13.613636363636363,11.886363636363637,0.36363636363636365,0,0,18,0.0,0.4090909090909091,6,7.0,77.0,12.136363636363637,12.0,0.6363636363636364,0.0,1.0,16.0,0.022727272727272728,0.36363636363636365,0.03717171717171717,0.05818181818181818
2023,Aston Martin,2022-2025_ground_effect,22,266.0,9.162790697674419,8.651162790697674,0.16279069767441862,0,8,31,0.18181818181818182,0.7045454545454546,4,6.0,55.0,13.613636363636363,11.886363636363637,0.36363636363636365,0.0,0.0,18.0,0.0,0.4090909090909091,0.06,0.09818181818181818
2024,Aston Martin,2022-2025_ground_effect,24,94.0,11.041666666666666,11.770833333333334,0.4583333333333333,0,0,20,0.0,0.4166666666666667,5,4.0,266.0,9.162790697674419,8.651162790697674,0.16279069767441862,0.0,8.0,31.0,0.18181818181818182,0.7045454545454546,0.18545454545454548,0.2884848484848485
2025,Aston Martin,2022-2025_ground_effect,24,80.0,12.872340425531915,12.76595744680851,0.3829787234042553,0,0,16,0.0,0.3333333333333333,7,5.0,94.0,11.041666666666666,11.770833333333334,0.4583333333333333,0.0,0.0,20.0,0.0,0.4166666666666667,0.056969696969696976,0.08484848484848485
2013,Caterham,2010-2013_post_points_change,19,0.0,19.605263157894736,17.894736842105264,0.868421052631579,0,0,0,0.0,0.0,10,10.0,0.0,18.7,16.75,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,Caterham,2014-2016_early_hybrid,17,0.0,19.441176470588236,17.823529411764707,0.9411764705882353,0,0,0,0.0,0.0,10,10.0,0.0,19.605263157894736,17.894736842105264,0.868421052631579,0.0,0.0,0.0,0.0,0.0,0.07878787878787878,0.07878787878787878
2011,Ferrari,2010-2013_post_points_change,19,375.0,5.184210526315789,6.552631578947368,0.15789473684210525,1,10,33,0.2631578947368421,0.868421052631579,3,3.0,396.0,6.7631578947368425,6.631578947368421,0.13157894736842105,5.0,15.0,30.0,0.39473684210526316,0.7894736842105263,0.31575757575757574,0.42666666666666664
2012,Ferrari,2010-2013_post_points_change,20,400.0,7.975,6.825,0.125,3,15,32,0.375,0.8,2,3.0,375.0,5.184210526315789,6.552631578947368,0.15789473684210525,1.0,10.0,33.0,0.2631578947368421,0.868421052631579,0.2636363636363636,0.3842424242424242
2013,Ferrari,2010-2013_post_points_change,19,354.0,6.973684210526316,6.868421052631579,0.10526315789473684,2,10,32,0.2631578947368421,0.8421052631578947,3,2.0,400.0,7.975,6.825,0.125,3.0,15.0,32.0,0.375,0.8,0.3060606060606061,0.45212121212121215
2014,Ferrari,2014-2016_early_hybrid,19,216.0,7.947368421052632,8.473684210526315,0.23684210526315788,0,2,30,0.05263157894736842,0.7894736842105263,4,3.0,354.0,6.973684210526316,6.868421052631579,0.10526315789473684,2.0,10.0,32.0,0.2631578947368421,0.8421052631578947,0.32727272727272727,0.37212121212121213
